Disease,Symptoms
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, stiff_neck, visual_disturbances"
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs"
Cervical spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain"
Cervical spondylosis,"back_pain, dizziness, loss_of_balance, weakness_in_limbs"
Cervical spondylosis,"back_pain, loss_of_balance, neck_pain, weakness_in_limbs"
Cervical spondylosis,"back_pain, dizziness, neck_pain, weakness_in_limbs"
Paralysis (brain hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side"
Paralysis (brain hemorrhage),"altered_sensorium, headache, weakness_of_one_body_side"
Paralysis (brain hemorrhage),"altered_sensorium, vomiting, weakness_of_one_body_side"
Paralysis (brain hemorrhage),"altered_sensorium, headache, vomiting"
Paralysis (brain hemorrhage),"headache, vomiting, weakness_of_one_body_side"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, vomiting, weight_loss, yellowish_skin"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, weight_loss, yellowish_skin"
Jaundice,"abdominal_pain, dark_urine, high_fever, itching, vomiting, weight_loss, yellowish_skin"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, yellowish_skin"
Jaundice,"abdominal_pain, dark_urine, fatigue, itching, vomiting, weight_loss, yellowish_skin"
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss"
Jaundice,"abdominal_pain, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin"
Jaundice,"dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin"
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting"
Malaria,"diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating"
Malaria,"chills, diarrhoea, headache, muscle_pain, nausea, sweating, vomiting"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, vomiting"
Malaria,"chills, diarrhoea, high_fever, muscle_pain, nausea, sweating, vomiting"
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, sweating, vomiting"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, high_fever, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, swelled_lymph_nodes"
Chicken pox,"headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, high_fever, itching, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, red_spots_over_body, skin_rash, swelled_lymph_nodes"
Chicken pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, vomiting"
Dengue,"back_pain, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, high_fever, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash"
Dengue,"back_pain, chills, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Dengue,"back_pain, chills, fatigue, headache, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, high_fever, nausea, toxic_look_(typhos), vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, toxic_look_(typhos), vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting"
Typhoid,"belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, constipation, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, vomiting"
Typhoid,"abdominal_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos), vomiting"
Typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, high_fever, nausea, toxic_look_(typhos)"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, yellowing_of_eyes, yellowish_skin"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes"
hepatitis A,"abdominal_pain, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis A,"abdominal_pain, dark_urine, diarrhoea, joint_pain, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis A,"dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
hepatitis A,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes"
Hepatitis B,"abdominal_pain, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin"
Hepatitis B,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellowing_of_eyes, yellowish_skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowish_skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin"
Hepatitis C,"family_history, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin"
Hepatitis C,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes"
Hepatitis C,"family_history, fatigue, loss_of_appetite, yellowing_of_eyes, yellowish_skin"
Hepatitis C,"family_history, fatigue, nausea, yellowing_of_eyes, yellowish_skin"
Hepatitis C,"fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes"
Hepatitis D,"abdominal_pain, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis D,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowish_skin"
Hepatitis E,"abdominal_pain, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, fatigue, high_fever, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Hepatitis E,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, high_fever, joint_pain, loss_of_appetite, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload.1, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload.1, history_of_alcohol_consumption, swelling_of_stomach, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload.1, history_of_alcohol_consumption, swelling_of_stomach, vomiting"
Alcoholic hepatitis,"distention_of_abdomen, fluid_overload.1, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload.1, history_of_alcohol_consumption, vomiting, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, fluid_overload.1, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, fluid_overload.1, swelling_of_stomach, vomiting, yellowish_skin"
Alcoholic hepatitis,"abdominal_pain, distention_of_abdomen, history_of_alcohol_consumption, swelling_of_stomach, vomiting, yellowish_skin"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, high_fever, loss_of_appetite, malaise, mild_fever, phlegm, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, chills, congestion, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, throat_irritation"
Common Cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, high_fever, loss_of_smell, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, rusty_sputum, sweating"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating"
Pneumonia,"breathlessness, chest_pain, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, high_fever, malaise, phlegm, rusty_sputum, sweating"
Pneumonia,"breathlessness, chest_pain, chills, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, malaise, phlegm, rusty_sputum, sweating"
Pneumonia,"chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum, sweating"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, malaise, phlegm, rusty_sputum"
Pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, high_fever, phlegm, rusty_sputum, sweating"
Dimorphic hemmorhoids(piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region"
Dimorphic hemmorhoids(piles),"bloody_stool, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region"
Dimorphic hemmorhoids(piles),"bloody_stool, constipation, irritation_in_anus, pain_in_anal_region"
Dimorphic hemmorhoids(piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements"
Dimorphic hemmorhoids(piles),"constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region"
Dimorphic hemmorhoids(piles),"bloody_stool, constipation, pain_during_bowel_movements, pain_in_anal_region"
Heart attack,"breathlessness, chest_pain, sweating, vomiting"
Heart attack,"breathlessness, chest_pain, sweating"
Heart attack,"chest_pain, sweating, vomiting"
Heart attack,"breathlessness, chest_pain, vomiting"
Heart attack,"breathlessness, sweating, vomiting"
Varicose veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs"
Varicose veins,"bruising, cramps, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs"
Varicose veins,"bruising, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs"
Varicose veins,"cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs"
